% Model:              sjo1e12-ph2c-si-200617-pdms-chip-vol-8ul-001.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 20 2022, 15:15
% Dimension:          2
% Nodes:              28902
% Expressions:        3
% Description:        Mesh element number, Velocity field, x component, Velocity field, y component
% Length unit:        mm
% x                       y                        meshelement @ q=4        u (m/s) @ q=4            v (m/s) @ q=4
287.1028703719617         628.3858078173291        2                        -4.326486715116712E-20   7.802214269888331E-17
287.1028703719617         628.3333969158165        3                        -7.4674618542126285E-19  -4.1349021350735467E-16
287.1028703719617         628.3596023665501        1                        -2.4118765841646802E-18  6.79576424685606E-16
287.10821039538155        628.3858078173291        6                        9.727790293351017E-8     -1.754271057332011E-4
287.1028703719617         628.3071914650828        3                        -5.22376922730387E-19    4.836623207473018E-16
287.1028703719617         628.2809860143492        4                        2.763525929535597E-19    -5.78448968928565E-16
287.10811004246335        628.3333969158165        9                        -3.0113232829562924E-7   -1.667437653540783E-4
287.1081747841731         628.3596023665501        5                        5.934615355774275E-7     -1.6721521788634315E-4
287.1146184234853         628.3858078173291        1                        1.072451693925106E-7     -3.5982627708396216E-4
287.1028703719617         628.2547805636157        8                        -2.7014762073966883E-19  -4.735245437118585E-16
287.1028703719617         628.2285751128819        11                       9.27916634667674E-21     -5.4778206735339334E-17
287.10803516827224        628.3071914650828        9                        1.7723192063874364E-7    -1.640968394976858E-4
287.10795693344255        628.2809860143492        10                       7.669582096233443E-8     -1.6053628475886563E-4
287.1143976470653         628.3333969158165        6                        -5.837734563813873E-7    -3.429521757782828E-4
287.1145400788268         628.3596023665501        4                        1.1832754666695E-6       -3.4282417551084407E-4
287.12457369952983        628.3685051414452        5                        2.039097226877512E-6     -5.633828597027637E-4
287.1277858013539         628.3858078173291        2                        1.901965863996097E-7     -6.493326906746684E-4
287.1028703719617         628.2023696621484        11                       -4.39960106957848E-23    -6.556471654938093E-16
287.1028703719617         628.1761642114146        12                       1.2238790088391122E-18   -2.273716799033574E-15
287.10785071353286        628.2547805636157        14                       -8.980194302645687E-8    -1.5740810146320415E-4
